293 ; __init__ ; DEBUG ; 293;  6473:1 - edge object added
202 ; selected ; DEBUG ; 202; 6469:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 6469:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 6469:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  6469:1 - edge object added
202 ; selected ; DEBUG ; 202; 6481:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 6481:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 6481:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  6481:1 - edge object added
202 ; selected ; DEBUG ; 202; 6464:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 6464:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 6464:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  6464:1 - edge object added
202 ; selected ; DEBUG ; 202; 19413:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 19413:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 19413:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  19413:1 - edge object added
202 ; selected ; DEBUG ; 202; 19412:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 19412:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 19412:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  19412:1 - edge object added
202 ; selected ; DEBUG ; 202; 19410:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 19410:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 19410:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  19410:1 - edge object added
