2023-12-10 11:21:12,592 ; dogbone.ui ; DEBUG ; 210; Trigger TLG restore
2023-12-10 11:21:12,629 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:True
2023-12-10 11:21:12,660 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:12,685 ; dogbone.ui ; DEBUG ; 181; End Triggered
2023-12-10 11:21:13,850 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:13,874 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:13,913 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:13,943 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:13,981 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,006 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,044 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,088 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,128 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,159 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,197 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,222 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,254 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,285 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,316 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,347 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,385 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,416 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,454 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,479 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,517 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,548 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,580 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,611 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,649 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,674 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,711 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,742 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,780 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,811 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,849 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,880 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,924 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:14,949 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:14,987 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:15,018 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:15,056 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:15,081 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:15,120 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:15,151 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:15,189 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:15,221 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:15,259 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:15,291 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:15,316 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:15,353 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:15,385 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:15,416 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:15,452 ; dogbone.ui ; INFO ; 185; preSelectStart - active:False ended:False
2023-12-10 11:21:15,483 ; dogbone.ui ; DEBUG ; 191; current ID: 5633855123433482782
2023-12-10 11:21:15,521 ; dogbone.ui ; DEBUG ; 197; Trigger TLG supression
2023-12-10 11:21:15,559 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:15,590 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:15,633 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
